"","bench","ar1","ma1","ma2","arma11"
"1",12.8640283003998,11.0370608442764,11.8727976563402,11.1407406697555,10.9569197598397
"2",12.5721151121325,4.88844753911526,6.704294245458,5.30467740866633,4.82403936706253
"3",9.72790757780195,19.7005966148778,14.8821747301718,20.1328204397302,20.9371072687362
"4",7.29664544377515,2.4100088811106,2.57568061319401,3.02929640302189,3.35313618314871
"5",11.0904714272071,5.45754802482297,8.27213657021171,3.4254003843623,5.0912328501571
"6",0.813950009775316,4.53371399339473,2.9543811350965,3.41950868426679,4.9633380774247
"7",7.39057079199782,5.65518362679245,4.9497658477601,6.22915423231572,6.73134107047374
"8",74.5237440306116,58.0566363693173,63.9146781587435,55.2301666005552,58.5487695928208
"9",19.9694187904976,1.60041951328374,4.77516707720501,2.37721236905383,1.63782555250097
"10",1.54441959929416,8.43421529983197,3.49504556909511,10.8754431728902,10.8951607422492
"11",45.2497803760221,51.5626795816645,52.6548469274971,55.6158791705699,46.8779471209728
"12",156.288442791281,224.978534742185,212.415725148748,202.528528427002,220.660443205316
"13",77.0548752215656,17.2579575843025,21.3934431757011,33.1002216952053,22.5166503527093
"14",144.012282172606,76.6629503314985,114.170090720457,51.7823622045114,69.1229809892424
"15",20.310683918969,0.00468963994496452,2.14079917841629,1.00236608050843,0.0677130400049827
"16",5.30565571692353,0.410370438277023,3.57102587045752,0.244885013401045,5.8747514320907e-05
"17",14.0766146909546,8.43977202679729,10.3461761190931,11.5300511172551,6.77569049661318
"18",25.2540265732603,13.2649947878606,16.9053990054219,14.7395061936765,12.5327670369528
"19",5.04666130537773,16.8210734119644,11.6653339019927,17.465834694656,17.8924611446705
"20",1.1727126920708,3.69138229578962,4.24572790019157,2.69951458222019,2.49760033722327
"21",5.32264793709361,7.29978405922932,8.35863115234783,3.8244032569414,6.7914003218907
"22",0.0590657102615186,0.381666570532735,0.342267093991681,0.00326682400193181,0.280457634153069
"23",95.8184312694216,97.7143178692537,92.6487896821141,103.810908284325,99.945560527785
"24",17.9908129013148,0.387494444244835,2.25044797597142,0.914660887319311,0.703965313229659
"25",0.00037464872057151,2.50886879689799,0.19677499006583,5.93500952392545,4.06533860759351
"26",29.0481591072692,28.9025753829768,27.6629091033482,22.9597060680762,32.228624447766
